"Model","Time","f","ll","ul"
"Univar A",1,NA,NA,NA
"Univar A",2,NA,NA,NA
"Univar A",3,NA,NA,NA
"Univar A",4,NA,NA,NA
"Univar A",5,NA,NA,NA
"Univar A",6,NA,NA,NA
"Univar A",7,NA,NA,NA
"Univar A",8,NA,NA,NA
"Univar A",9,NA,NA,NA
"Univar A",10,NA,NA,NA
"Univar A",11,NA,NA,NA
"Univar A",12,NA,NA,NA
"Univar A",13,NA,NA,NA
"Univar A",14,NA,NA,NA
"Univar A",15,NA,NA,NA
"Univar A",16,NA,NA,NA
"Univar A",17,NA,NA,NA
"Univar A",18,NA,NA,NA
"Univar A",19,NA,NA,NA
"Univar A",20,NA,NA,NA
"Univar A",21,NA,NA,NA
"Univar A",22,NA,NA,NA
"Univar A",23,NA,NA,NA
"Univar A",24,NA,NA,NA
"Univar A",25,NA,NA,NA
"Univar A",26,NA,NA,NA
"Univar A",27,NA,NA,NA
"Univar A",28,NA,NA,NA
"Univar A",29,NA,NA,NA
"Univar A",30,NA,NA,NA
"Univar A",31,NA,NA,NA
"Univar A",32,NA,NA,NA
"Univar A",33,NA,NA,NA
"Univar A",34,NA,NA,NA
"Univar A",35,NA,NA,NA
"Univar A",36,NA,NA,NA
"Univar A",37,NA,NA,NA
"Univar A",38,NA,NA,NA
"Univar A",39,NA,NA,NA
"Univar A",40,NA,NA,NA
"Univar A",41,NA,NA,NA
"Univar A",42,NA,NA,NA
"Univar A",43,NA,NA,NA
"Univar A",44,NA,NA,NA
"Univar A",45,NA,NA,NA
"Univar A",46,NA,NA,NA
"Univar A",47,NA,NA,NA
"Univar A",48,NA,NA,NA
"Univar A",49,NA,NA,NA
"Univar A",50,NA,NA,NA
"Univar A",51,NA,NA,NA
"Univar A",52,NA,NA,NA
"Univar A",53,NA,NA,NA
"Univar A",54,NA,NA,NA
"Univar A",55,NA,NA,NA
"Univar A",56,NA,NA,NA
"Univar A",57,NA,NA,NA
"Univar A",58,NA,NA,NA
"Univar A",59,NA,NA,NA
"Univar A",60,NA,NA,NA
"Univar A",61,NA,NA,NA
"Univar A",62,NA,NA,NA
"Univar A",63,NA,NA,NA
"Univar A",64,NA,NA,NA
"Univar A",65,NA,NA,NA
"Univar A",66,NA,NA,NA
"Univar A",67,NA,NA,NA
"Univar A",68,NA,NA,NA
"Univar A",69,NA,NA,NA
